Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
328,Downtown,145.360000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"K8WNJ near Muskegon, Muskegon County, Michigan OPEN",,,,
329,Downtown,444.012500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,12.50,,50W,"K8WNJ near Muskegon, Muskegon County, Michigan OPEN",,,,
330,KE8LZ,147.380000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KE8LZ near Muskegon, Muskegon County, Michigan OPEN",,,,
331,W8MAI,444.700000,+,5.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8MAI near Sister Lakes, Van Buren County, Michigan OPEN",,,,
332,NW8J,145.430000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"NW8J near Walkerville, Oceana County, Michigan OPEN",,,,
333,KE8GVB,442.825000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"KE8GVB near Sumnerville, Berrien County, Michigan OPEN Not internet connected",,,,
334,KE8GVB,145.140000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"KE8GVB near Sumnerville, Berrien County, Michigan OPEN",,,,
335,K7IOU,224.740000,-,1.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7IOU near Gaylord, Otsego County, Michigan OPEN",,,,
336,KC8BRS,147.180000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8BRS near Niles, Berrien County, Michigan OPEN",,,,
337,City of Muskegon,52.800000,-,0.500000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8COP near Muskegon, Muskegon County, Michigan OPEN",,,,
338,Camp Hardy,146.680000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8AOR near Whitehall, Muskegon County, Michigan OPEN",,,,
339,Camp Hardy,443.250000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8AOR near Whitehall, Muskegon County, Michigan OPEN",,,,
340,W8KAL,52.820000,-,0.500000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8KAL near Kalkaska, Kalkaska County, Michigan OPEN",,,,
341,AA8ZV,147.300000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AA8ZV near Kalkaska, Kalkaska County, Michigan OPEN",,,,
342,NM8RC,146.820000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"NM8RC near Gaylord, Otsego County, Michigan OPEN",,,,
343,KD8QCC,444.037500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,12.50,,50W,"KD8QCC near Gaylord, Otsego County, Michigan OPEN",,,,
344,W8MAI,442.275000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"W8MAI near Saint Joseph, Berrien County, Michigan OPEN",,,,
345,N8JNA,147.120000,+,0.600000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8JNA near Gaylord, Otsego County, Michigan OPEN WIRES-X capable.",,,,
346,W8QPO,147.100000,+,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8QPO near Sherman, Grand Traverse County, Michigan OPEN This Repeater has scheduled times of Analog only operation. Saturdays for an FM net from 8:00 to 9:30 P.M.  Wires-x and linking will be off during this time. Analog only during these times please.",,,,
347,K8WQK,442.800000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K8WQK near Mancelona, Antrim County, Michigan OPEN",,,,
348,KB8VIM,146.720000,-,0.600000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB8VIM near Saint Joseph, Berrien County, Michigan OPEN",,,,
349,W8VTM,443.675000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8VTM near Hart, Oceana County, Michigan OPEN",,,,
350,K8WQK,147.380000,+,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8WQK near Mancelona, Antrim County, Michigan OPEN",,,,
351,N8UKH,146.640000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8UKH near Hart, Oceana County, Michigan OPEN",,,,
352,W8IRA,145.290000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8IRA near Vanderbilt, Otsego County, Michigan OPEN",,,,
